id,restaurant_id,tax_classification_id,sku,name,description,base_unit,attributes,status,created_at_utc,created_by,updated_at_utc,updated_by,concurrency_version
ca100000-0000-0000-0000-000000002001,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0001,Harbour Breakfast Set,Fictional imported product 01,each,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002002,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0002,Garden Omelette,Fictional imported product 02,each,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002003,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0003,Coconut Pancakes,Fictional imported product 03,each,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002004,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0004,Orchard Toast,Fictional imported product 04,each,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002005,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0005,Riverside Porridge,Fictional imported product 05,bowl,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002006,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0006,Spiced Chicken Rice,Fictional imported product 06,plate,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002007,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0007,Lemongrass Noodles,Fictional imported product 07,bowl,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002008,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0008,Seaside Fish Plate,Fictional imported product 08,plate,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002009,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0009,Market Vegetable Bowl,Fictional imported product 09,bowl,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002010,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0010,Chilli Beef Noodles,Fictional imported product 10,bowl,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002011,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0011,Tamarind Chicken,Fictional imported product 11,plate,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002012,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0012,Ginger Tofu Bowl,Fictional imported product 12,bowl,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002013,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0013,Roasted Pumpkin Rice,Fictional imported product 13,plate,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002014,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0014,Heritage Curry Bowl,Fictional imported product 14,bowl,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002015,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0015,Sesame Prawn Noodles,Fictional imported product 15,bowl,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002016,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0016,Crispy Mushroom Plate,Fictional imported product 16,plate,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002017,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0017,Black Pepper Chicken,Fictional imported product 17,plate,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002018,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0018,Island Fried Rice,Fictional imported product 18,plate,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002019,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0019,Soy Glazed Salmon,Fictional imported product 19,plate,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002020,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0020,Golden Vegetable Curry,Fictional imported product 20,bowl,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002021,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0021,Mango Garden Salad,Fictional imported product 21,bowl,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002022,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0022,Lime Chicken Salad,Fictional imported product 22,bowl,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002023,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0023,Toasted Sesame Salad,Fictional imported product 23,bowl,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002024,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0024,Spiced Corn Salad,Fictional imported product 24,bowl,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002025,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0025,Avocado Herb Salad,Fictional imported product 25,bowl,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002026,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0026,Pandan Coconut Cake,Fictional imported product 26,slice,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002027,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0027,Mango Rice Pudding,Fictional imported product 27,bowl,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002028,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0028,Chocolate Sesame Tart,Fictional imported product 28,slice,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002029,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0029,Ginger Caramel Flan,Fictional imported product 29,slice,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002030,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0030,Tropical Fruit Plate,Fictional imported product 30,plate,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002031,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0031,Orchard Black Coffee,Fictional imported product 31,cup,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002032,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0032,Pandan Milk Tea,Fictional imported product 32,cup,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002033,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0033,Lime Iced Tea,Fictional imported product 33,cup,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002034,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0034,Coconut Cold Brew,Fictional imported product 34,cup,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002035,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0035,Mango Sparkling Water,Fictional imported product 35,bottle,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002036,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0036,Lychee Soda,Fictional imported product 36,bottle,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002037,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0037,Ginger Lemon Cooler,Fictional imported product 37,cup,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
ca100000-0000-0000-0000-000000002038,ca000000-0000-0000-0000-000000000001,ca100000-0000-0000-0000-000000000501,EXT-0038,Watermelon Juice,Fictional imported product 38,cup,{},active,2026-01-01T00:00:00Z,csv-import,2026-01-01T00:00:00Z,csv-import,1
