operation_scope,idempotency_key,request_hash,response_status,response_body,resource_id,created_at_utc,expires_at_utc
create-order,sample-order-0001,sample-hash-0001,201,"{""sample"":true}",0d000000-0000-0000-0000-000000000001,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z
create-order,sample-order-0001-r01,sample-hash-0001,201,"{""sample"":true}",1ac47f46-9b76-52e7-9710-a3270fdb6c0d,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z
create-order,sample-order-0001-r02,sample-hash-0001,201,"{""sample"":true}",85924700-20f0-57e2-b29c-b6e2b159a606,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z
create-order,sample-order-0001-r03,sample-hash-0001,201,"{""sample"":true}",dc99f6f9-706a-506f-bc05-40359b125d5c,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z
create-order,sample-order-0001-r04,sample-hash-0001,201,"{""sample"":true}",9256c8c8-680f-516d-bb84-8382ffd14af4,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z
create-order,sample-order-0001-r05,sample-hash-0001,201,"{""sample"":true}",350a23ee-21a4-5eb7-9c80-119858f5e6f1,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z
create-order,sample-order-0001-r06,sample-hash-0001,201,"{""sample"":true}",1c04c73e-f11e-5d30-8569-603615419a07,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z
create-order,sample-order-0001-r07,sample-hash-0001,201,"{""sample"":true}",ecd8c9c4-f108-5631-8771-8012591a3342,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z
create-order,sample-order-0001-r08,sample-hash-0001,201,"{""sample"":true}",5f93610e-1295-57be-8f01-73c755b8a29b,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z
create-order,sample-order-0001-r09,sample-hash-0001,201,"{""sample"":true}",82ccac59-060b-5257-a765-69f8d1da1e62,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z
create-order,sample-order-0001-r10,sample-hash-0001,201,"{""sample"":true}",450dca80-f375-51db-9401-680b18119c56,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z
create-order,sample-order-0001-r11,sample-hash-0001,201,"{""sample"":true}",dd4b24fe-84b1-5666-8b71-c6f07650b798,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z
create-order,sample-order-0001-r12,sample-hash-0001,201,"{""sample"":true}",09634954-2342-52ba-9a0c-3a3b3306314e,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z
create-order,sample-order-0001-r13,sample-hash-0001,201,"{""sample"":true}",c9e72080-d5fc-5e91-b66a-01ba01d17273,2026-01-01T00:00:00Z,2099-01-01T00:00:00Z
